Code,Company,Company name,Category,Market,EPS,NTA,PE,DY,ROE,Market capital
0128,FRONTKN,FRONTKEN CORPORATION BERHAD,Technology,Main Market,7.30,0.400,66.73,0.51,18.24,5130.23
0213,MTAG,MTAG GROUP BERHAD,Industrial Products & Services,Ace Market,5.06,0.280,17.00,3.49,18.07,586.19
1562,BJTOTO,BERJAYA SPORTS TOTO BERHAD,Consumer Products & Services,Main Market,10.00,0.570,20.59,3.85,17.55,2783.12
5216,DSONIC,DATASONIC GROUP BERHAD,Technology,Main Market,1.66,0.095,30.77,2.94,17.43,1377.00
5147,SAMCHEM,SAMCHEM HOLDINGS BERHAD,Industrial Products & Services,Main Market,10.84,0.630,12.45,2.96,17.21,367.20
7087,MAGNI,MAGNI-TECH INDUSTRIES BERHAD,Consumer Products & Services,Main Market,25.12,1.480,8.64,4.34,16.97,941.67
0097,VITROX,VITROX CORPORATION BERHAD,Technology,Main Market,19.38,1.155,90.10,0.25,16.78,8243.15
7293,YINSON,YINSON HOLDINGS BERHAD,Energy,Main Market,28.44,1.700,18.32,1.15,16.73,5728.49
5163,SEB,SEREMBAN ENGINEERING BERHAD,Industrial Products & Services,Main Market,4.68,0.280,14.22,0.00,16.70,53.20
7237,PWROOT,POWER ROOT BERHAD,Consumer Products & Services,Main Market,10.60,0.640,17.93,6.58,16.56,805.66
7022,GTRONIC,GLOBETRONICS TECHNOLOGY BERHAD,Technology,Main Market,7.24,0.440,44.32,2.34,16.46,2148.92
0221,TCS,TCS GROUP HOLDINGS BERHAD,Construction,Ace Market,4.14,0.190,12.93,1.87,16.33,192.60
8621,LPI,LPI CAPITAL BHD,Financial Services,Main Market,84.52,5.187,16.37,5.20,16.29,5513.62
5279,SERBADK,SERBA DINAMIK HOLDINGS BERHAD,Energy,Main Market,15.31,0.940,10.65,3.53,16.28,6075.32
6033,PETGAS,PETRONAS GAS BERHAD,Utilities,Main Market,100.65,6.310,16.06,5.07,15.95,31976.31
7247,SCGM,SCGM BHD,Industrial Products & Services,Main Market,14.94,0.941,14.39,1.67,15.88,416.24
3069,MFCB,MEGA FIRST CORPORATION BERHAD,Utilities,Main Market,63.02,3.980,12.71,0.75,15.83,3958.35
7153,KOSSAN,KOSSAN RUBBER INDUSTRIES BERHAD,Health Care,Main Market,23.68,1.507,17.44,0.73,15.71,10564.01
5277,FPGROUP,FOUNDPAC GROUP BERHAD,Industrial Products & Services,Main Market,2.78,0.183,38.90,0.46,15.19,585.71
5078,M,MARINE & GENERAL BERHAD,Transportation & Logistics,Main Market,1.76,0.116,6.53,0.00,15.19,83.25
0208,GREATEC,GREATECH TECHNOLOGY BERHAD,Technology,Main Market,6.18,0.407,101.36,0.00,15.17,7837.52
9172,FPI,FORMOSA PROSONIC INDUSTRIES BERHAD,Consumer Products & Services,Main Market,19.69,1.300,15.49,3.61,15.15,754.44
0201,NOVA,NOVA WELLNESS GROUP BERHAD,Health Care,Ace Market,4.36,0.290,20.40,1.61,15.05,282.79
9296,RCECAP,RCE CAPITAL BERHAD,Financial Services,Main Market,30.22,2.010,8.27,4.40,15.03,952.37
2828,CIHLDG,C.I. HOLDINGS BERHAD,Consumer Products & Services,Main Market,22.34,1.500,9.40,4.76,14.89,340.20
7145,AGES,AGESON BERHAD,Construction,Main Market,3.85,0.260,3.25,0.00,14.80,135.29
3689,F,FRASER & NEAVE HOLDINGS BHD,Consumer Products & Services,Main Market,114.19,7.750,26.66,1.97,14.73,11164.74
7062,KHIND,KHIND HOLDINGS BERHAD,Consumer Products & Services,Main Market,56.70,3.860,7.23,2.44,14.69,164.24
5286,MI,MI TECHNOVATION BERHAD,Technology,Main Market,7.77,0.530,65.09,0.72,14.67,3795.00
5295,INNATURE,INNATURE BERHAD,Consumer Products & Services,Main Market,2.89,0.197,17.67,1.96,14.67,360.00
4316,SHCHAN,SIN HENG CHAN (MALAYA) BERHAD,Plantation,Main Market,6.57,0.450,7.38,0.00,14.61,63.95
7160,PENTA,PENTAMASTER CORPORATION BERHAD,Technology,Main Market,10.01,0.685,63.86,0.23,14.60,4551.71
3034,HAPSENG,HAP SENG CONSOLIDATED BERHAD,Industrial Products & Services,Main Market,43.39,3.010,19.13,3.01,14.41,20664.36
5100,BPPLAS,BP PLASTICS HOLDING BHD,Industrial Products & Services,Main Market,15.50,1.080,9.16,4.23,14.35,266.52
7277,DIALOG,DIALOG GROUP BERHAD,Energy,Main Market,10.85,0.758,29.13,0.98,14.31,17839.55
5169,HOHUP,HO HUP CONSTRUCTION COMPANY BHD,Construction,Main Market,16.31,1.140,2.54,0.00,14.31,171.14
0011,BTECH,BRITE-TECH BERHAD,Utilities,Ace Market,3.37,0.240,14.69,3.23,14.04,124.74
0166,INARI,INARI AMERTRON BERHAD,Technology,Main Market,5.39,0.384,64.80,1.26,14.01,11540.49
8079,LEESK,LEE SWEE KIAT GROUP BERHAD,Consumer Products & Services,Main Market,4.87,0.350,19.01,2.70,13.90,155.23
0002,KOTRA,KOTRA INDUSTRIES BERHAD,Health Care,Main Market,18.18,1.310,15.40,3.21,13.88,414.22
7152,JAYCORP,JAYCORP BERHAD,Consumer Products & Services,Main Market,17.98,1.310,9.46,5.88,13.72,233.33
2089,UTDPLT,UNITED PLANTATIONS BERHAD,Plantation,Main Market,86.55,6.370,16.59,4.65,13.59,5977.62
0215,SLVEST,SOLARVEST HOLDINGS BERHAD,Industrial Products & Services,Ace Market,2.98,0.220,104.26,0.32,13.56,1314.36
5139,AEONCR,AEON CREDIT SERVICE (M) BERHAD,Financial Services,Main Market,81.72,6.040,13.31,3.33,13.53,2777.75
5236,MATRIX,MATRIX CONCEPTS HOLDINGS BERHAD,Property,Main Market,27.21,2.020,6.32,6.69,13.47,1434.88
7155,SKPRES,SKP RESOURCES BHD,Industrial Products & Services,Main Market,6.91,0.530,35.45,1.20,13.04,3062.96
3719,PANAMY,PANASONIC MANUFACTURING MALAYSIA BERHAD,Consumer Products & Services,Main Market,159.01,12.230,18.82,6.62,13.00,1817.51
5143,LUXCHEM,LUXCHEM CORPORATION BERHAD,Industrial Products & Services,Main Market,4.61,0.360,16.58,2.94,12.82,685.29
5274,HLCAP,HONG LEONG CAPITAL BERHAD,Financial Services,Main Market,46.99,3.690,12.92,3.79,12.74,1498.66
5248,BAUTO,BERMAZ AUTO BERHAD,Consumer Products & Services,Main Market,5.47,0.430,24.32,5.60,12.71,1548.02
8176,ATAIMS,ATA IMS BERHAD,Industrial Products & Services,Main Market,7.70,0.610,33.76,0.01,12.63,3131.37
7047,FAJAR,FAJARBARU BUILDER GROUP BHD,Construction,Main Market,10.82,0.865,4.71,3.43,12.51,190.68
1481,ASB,ADVANCE SYNERGY BERHAD,Consumer Products & Services,Main Market,5.98,0.480,2.34,2.50,12.47,130.09
9466,KKB,KKB ENGINEERING BERHAD,Industrial Products & Services,Main Market,16.48,1.330,9.71,3.75,12.39,412.47
1163,ALLIANZ,ALLIANZ MALAYSIA BERHAD,Financial Services,Main Market,287.97,23.300,4.61,4.89,12.36,2349.08
7167,JOHOTIN,JOHORE TIN BERHAD,Consumer Products & Services,Main Market,14.24,1.160,12.78,3.52,12.27,565.06
6971,KOBAY,KOBAY TECHNOLOGY BERHAD,Industrial Products & Services,Main Market,24.33,1.990,21.58,1.14,12.23,535.99
5263,SUNCON,SUNWAY CONSTRUCTION GROUP BERHAD,Construction,Main Market,5.74,0.470,26.48,4.61,12.21,1965.21
7090,AHEALTH,APEX HEALTHCARE BERHAD,Health Care,Main Market,11.71,0.960,29.04,1.09,12.19,1615.78
5077,MAYBULK,MALAYSIAN BULK CARRIERS BERHAD,Transportation & Logistics,Main Market,4.07,0.334,11.55,0.00,12.19,470.00
5028,HTPADU,HEITECH PADU BERHAD,Technology,Main Market,14.13,1.160,11.11,0.00,12.18,158.92
2658,AJI,AJINOMOTO (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,98.08,8.130,16.21,3.10,12.06,966.70
8923,JIANKUN,JIANKUN INTERNATIONAL BERHAD,Property,Main Market,4.34,0.360,10.71,0.00,12.06,78.20
5272,RANHILL,RANHILL UTILITIES BERHAD,Utilities,Main Market,6.55,0.550,12.97,5.82,11.91,912.00
7035,CCK,CCK CONSOLIDATED HOLDINGS BERHAD,Consumer Products & Services,Main Market,5.48,0.460,10.14,3.15,11.90,350.05
8869,PMETAL,PRESS METAL ALUMINIUM HOLDINGS BERHAD,Industrial Products & Services,Main Market,11.05,0.930,72.86,0.62,11.88,32506.78
7668,HAIO,HAI-O ENTERPRISE BERHAD,Consumer Products & Services,Main Market,12.58,1.060,17.01,4.67,11.87,642.64
9598,PTARAS,PINTARAS JAYA BHD,Construction,Main Market,23.31,2.020,11.07,3.88,11.54,427.93
5027,KMLOONG,KIM LOONG RESOURCES BERHAD,Plantation,Main Market,9.29,0.820,15.06,5.00,11.33,1309.58
8966,PRLEXUS,PROLEXUS BERHAD,Consumer Products & Services,Main Market,16.76,1.500,5.94,0.00,11.18,183.43
9954,RGTBHD,RGT BERHAD,Industrial Products & Services,Main Market,1.73,0.155,32.32,0.54,11.16,358.65
5436,PERSTIM,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,Industrial Products & Services,Main Market,34.12,3.060,11.28,2.60,11.15,497.02
7205,COCOLND,COCOALAND HOLDINGS BERHAD,Consumer Products & Services,Main Market,12.91,1.160,13.09,4.73,11.13,386.67
5276,DANCO,DANCOMECH HOLDINGS BERHAD,Industrial Products & Services,Main Market,4.87,0.440,14.15,2.54,11.08,213.28
0100,ESCERAM,ES CERAMICS TECHNOLOGY BHD,Industrial Products & Services,Ace Market,1.65,0.150,44.20,0.68,11.01,336.22
0205,DPIH,DPI HOLDINGS BERHAD,Consumer Products & Services,Ace Market,1.76,0.160,16.51,2.24,10.98,141.15
0084,TECFAST,TECHFAST HOLDINGS BERHAD,Industrial Products & Services,Ace Market,1.33,0.122,31.15,2.41,10.92,104.15
6262,INNO,INNOPRISE PLANTATIONS BERHAD,Plantation,Main Market,7.64,0.700,13.35,2.45,10.91,488.44
9822,SAM,SAM ENGINEERING & EQUIPMENT (M) BERHAD,Industrial Products & Services,Main Market,47.17,4.360,14.97,2.09,10.82,954.28
0151,KGB,KELINGTON GROUP BERHAD,Industrial Products & Services,Main Market,5.38,0.502,43.29,0.86,10.73,751.71
3867,MPI,MALAYSIAN PACIFIC INDUSTRIES BERHAD,Technology,Main Market,81.71,7.640,43.93,0.75,10.70,7534.85
6815,EUPE,EUPE CORPORATION BERHAD,Property,Main Market,31.86,3.000,2.54,1.85,10.62,103.68
7180,SERNKOU,SERN KOU RESOURCES BERHAD,Consumer Products & Services,Main Market,6.85,0.650,26.13,0.00,10.54,468.83
5162,VSTECS,VSTECS BERHAD,Technology,Main Market,19.24,1.830,13.51,2.12,10.52,468.00
